user_id,department,gpt_app,date,prompt_count,tokens_used,cost_usd
user_0,Ops,gpt_app_3,2025-01-01,2,2223,0.0445
user_0,Ops,gpt_app_0,2025-01-03,4,2808,0.0562
user_0,Ops,gpt_app_23,2025-01-04,4,1189,0.0238
user_0,Ops,gpt_app_8,2025-01-05,4,2251,0.045
user_0,Ops,gpt_app_7,2025-01-08,3,1519,0.0304
user_0,Ops,gpt_app_7,2025-01-09,3,2757,0.0551
user_0,Ops,gpt_app_4,2025-01-11,4,4222,0.0844
user_0,Ops,gpt_app_23,2025-01-12,7,2954,0.0591
user_0,Ops,gpt_app_3,2025-01-13,1,1192,0.0238
user_0,Ops,gpt_app_21,2025-01-14,4,733,0.0147
user_0,Ops,gpt_app_23,2025-01-15,4,2465,0.0493
user_0,Ops,gpt_app_17,2025-01-18,2,2710,0.0542
user_0,Ops,gpt_app_2,2025-01-21,2,2943,0.0589
user_0,Ops,gpt_app_18,2025-01-25,7,1281,0.0256
user_0,Ops,gpt_app_13,2025-01-26,2,864,0.0173
user_0,Ops,gpt_app_1,2025-01-29,4,2833,0.0567
user_0,Ops,gpt_app_0,2025-01-30,7,2077,0.0415
user_0,Ops,gpt_app_2,2025-02-02,2,2774,0.0555
user_0,Ops,gpt_app_6,2025-02-06,3,1725,0.0345
user_0,Ops,gpt_app_7,2025-02-08,6,1358,0.0272
user_0,Ops,gpt_app_16,2025-02-10,2,2048,0.041
user_0,Ops,gpt_app_19,2025-02-11,4,3970,0.0794
user_0,Ops,gpt_app_0,2025-02-14,5,3124,0.0625
user_0,Ops,gpt_app_17,2025-02-16,4,3113,0.0623
user_0,Ops,gpt_app_6,2025-02-19,4,1264,0.0253
user_0,Ops,gpt_app_22,2025-02-21,2,3239,0.0648
user_0,Ops,gpt_app_20,2025-02-24,5,2207,0.0441
user_0,Ops,gpt_app_22,2025-02-25,7,2625,0.0525
user_0,Ops,gpt_app_17,2025-02-26,3,2234,0.0447
user_0,Ops,gpt_app_13,2025-02-27,4,1428,0.0286
user_0,Ops,gpt_app_7,2025-02-28,4,2770,0.0554
user_1,Sales,gpt_app_18,2025-01-01,7,1397,0.0279
user_1,Sales,gpt_app_8,2025-01-03,3,1143,0.0229
user_1,Sales,gpt_app_0,2025-01-07,1,2385,0.0477
user_1,Sales,gpt_app_24,2025-01-13,4,2568,0.0514
user_1,Sales,gpt_app_5,2025-01-16,4,2073,0.0415
user_1,Sales,gpt_app_22,2025-01-21,7,2456,0.0491
user_1,Sales,gpt_app_13,2025-01-25,2,2908,0.0582
user_1,Sales,gpt_app_10,2025-01-27,4,1622,0.0324
user_1,Sales,gpt_app_8,2025-01-28,5,2871,0.0574
user_1,Sales,gpt_app_4,2025-01-29,7,1470,0.0294
user_1,Sales,gpt_app_6,2025-01-31,1,2681,0.0536
user_1,Sales,gpt_app_24,2025-02-04,2,2254,0.0451
user_1,Sales,gpt_app_10,2025-02-07,6,710,0.0142
user_1,Sales,gpt_app_3,2025-02-08,2,1810,0.0362
user_1,Sales,gpt_app_2,2025-02-09,3,3497,0.0699
